iter	Passed	Remaining
0	0	69
1	1	56
2	1	53
3	2	48
4	2	46
5	2	44
6	3	43
7	3	43
8	4	43
9	4	42
10	5	48
11	7	55
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	52
18	11	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	25	39
39	26	39
40	28	41
41	29	40
42	29	39
43	29	38
44	30	37
45	30	36
46	31	35
47	31	34
48	32	33
49	32	32
50	33	31
51	33	30
52	34	30
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	38	26
59	38	25
60	39	24
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
